player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today
644,0,0,0,0,5430193,False,49,1617
673,0,0,0,0,5430193,True,49,24
705,0,0,0,0,5430193,False,55,1802
90,0,0,0,0,5430193,False,44,-12337
91,0,0,0,0,5430193,False,39,-6171
92,0,0,0,0,5430193,False,43,-207159
93,0,0,0,0,5430193,False,40,-13258
94,0,0,0,0,5430193,False,45,-133
95,0,0,0,0,5430193,False,50,-3527
96,0,0,0,0,5430193,False,45,2586
97,0,0,0,0,5430193,False,40,-526
98,0,0,0,0,5430193,False,48,-8234
99,0,0,0,0,5430193,False,47,-9640
100,0,0,0,0,5430193,False,45,-825
101,0,0,0,0,5430193,False,45,41471
102,0,0,0,0,5430193,False,39,1513
103,0,0,0,0,5430193,True,43,-169523
104,0,0,0,0,5430193,True,44,-19083
105,0,0,0,0,5430193,False,53,-3025
106,0,0,0,0,5430193,False,54,-16803
107,0,0,0,0,5430193,False,47,4595
108,0,0,0,0,5430193,True,68,-408696
109,0,0,0,0,5430193,False,48,-440918
110,0,0,0,-1,5430193,False,53,-6476
111,0,0,0,0,5430193,True,49,-403
112,0,0,0,0,5430193,False,46,117710
114,0,0,0,0,5430193,False,44,-954
115,0,0,0,0,5430193,True,52,-7516
116,0,0,0,0,5430193,False,39,131633
117,0,0,0,0,5430193,False,80,479886
118,0,0,0,0,5430193,False,45,-1685
119,0,0,0,-1,5430193,True,56,-205530
120,0,0,0,0,5430193,False,43,-26929
121,0,0,0,0,5430193,False,43,-4001
258,0,0,0,0,5430193,False,49,-31128
508,0,0,0,0,5430193,False,44,-1484
620,0,0,0,0,5430193,False,45,-90
684,0,0,0,0,5430193,False,45,340
701,0,0,0,0,5430193,True,45,2604
725,0,0,0,0,5430193,True,40,650
733,0,0,0,0,5430193,False,40,1177
744,0,0,0,0,5430193,False,45,36
752,0,0,0,0,5430193,False,40,326
789,0,0,0,0,5430193,False,40,64
122,0,0,0,0,5430193,True,50,2888
123,0,0,0,0,5430193,False,44,-10554
124,0,0,0,0,5430193,False,45,-4546
125,0,0,0,0,5430193,False,47,-870
127,0,0,0,0,5430193,False,45,-3871
128,0,0,0,0,5430193,False,48,-10215
129,0,0,0,0,5430193,False,50,-173109
130,0,0,0,0,5430193,True,50,-339185
131,0,0,0,0,5430193,False,51,-2123298
132,0,0,0,-1,5430193,False,58,-184365
133,0,0,0,0,5430193,False,49,13133
134,0,0,0,0,5430193,False,65,252387
135,0,0,0,0,5430193,False,55,-879880
136,0,0,0,0,5430193,False,40,-2363
137,0,0,0,0,5430193,False,45,-130
138,0,0,0,0,5430193,False,49,-3746
139,0,0,0,0,5430193,False,39,-323645
140,0,0,0,0,5430193,True,61,-217155
141,0,0,0,0,5430193,False,39,-228
142,0,0,0,0,5430193,False,48,-13630
143,0,0,0,0,5430193,True,64,-2407151
144,0,0,0,0,5430193,False,44,-3243
146,0,0,0,0,5430193,False,45,-1568
147,0,0,0,0,5430193,False,40,-33
148,0,0,0,0,5430193,False,42,-319599
149,0,0,0,0,5430193,False,55,-4460
150,0,0,0,0,5430193,False,40,123315
151,0,0,0,0,5430193,True,43,-66893
152,0,0,0,0,5430193,False,44,-14564
153,0,0,0,0,5430193,False,42,-17372
154,0,0,0,0,5430193,False,57,-173901
155,0,0,0,0,5430193,False,44,-77088
606,0,0,0,0,5430193,False,43,-5312
621,0,0,0,0,5430193,False,45,12063
690,0,0,0,0,5430193,False,45,3623
700,0,0,0,0,5430193,True,64,12032
741,0,0,0,0,5430193,False,45,1043
742,0,0,0,0,5430193,False,45,205
746,0,0,0,0,5430193,False,40,1130
747,0,0,0,0,5430193,False,44,121
753,0,0,0,0,5430193,False,40,192
755,0,0,0,0,5430193,False,45,73
786,0,0,0,0,5430193,False,45,10
156,0,0,0,0,5430193,False,42,-1345
157,0,0,0,0,5430193,False,38,37317
158,0,0,0,0,5430193,False,49,-2339
159,0,0,0,0,5430193,False,52,-13740
