price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,5281103,False,39,-536,141,McGill
,0,0,0,5281103,True,48,-14341,142,Milner
,0,0,0,5281103,False,64,-2445512,143,Mitoma
,0,0,0,5281103,False,44,-3296,144,Moder
,0,0,0,5281103,False,45,-1573,146,Sarmiento
,0,0,0,5281103,False,40,-33,147,Scherpen
,0,0,0,5281103,False,42,-321861,148,Steele
,0,0,0,5281103,False,55,-4468,149,Undav
,0,0,0,5281103,False,40,139052,150,Van Hecke
,0,0,0,5281103,False,43,-68872,151,Veltman
,0,0,0,5281103,False,44,-15268,152,Verbruggen
,0,0,0,5281103,False,42,-17547,153,Webster
,0,0,0,5281103,False,57,-172996,154,Welbeck
,0,0,0,5281103,False,44,-77770,155,Zeqiri
,0,0,0,5281103,False,43,-5375,606,Igor
,0,0,0,5281103,False,45,12899,621,Hinshelwood
,0,0,0,5281103,False,45,3336,690,Baleba
,0,0,0,5281103,False,64,12053,700,Ansu Fati
,0,0,0,5281103,False,45,1069,741,O’Mahony
,0,0,0,5281103,False,45,211,742,Baker-Boaitey
,0,0,0,5281103,False,40,1200,746,Jackson
,0,0,0,5281103,False,44,143,747,Duffus
,0,0,0,5281103,False,40,200,753,Kavanagh
,0,0,0,5281103,False,45,70,755,Barrington
,0,0,0,5281103,False,45,15,786,Peupion
,0,0,0,5281103,False,42,994,156,Agyei
,0,0,0,5281103,False,38,71941,157,Al-Dakhil
,0,0,0,5281103,False,49,-2350,158,Bastien
,0,0,0,5281103,False,52,-13751,159,Benson
,0,0,0,5281103,False,40,-299519,160,Beyer
,0,0,0,5281103,False,47,-7143,161,Brownhill
,0,0,0,5281103,False,44,-2507,162,Churlinov
,0,0,0,5281103,False,48,-1993,163,Cork
,0,0,0,5281103,False,45,-2809,164,Costelloe
,0,0,0,5281103,False,50,-3293,165,Cullen
,0,0,0,5281103,False,39,-40,166,Egan-Riley
,0,0,0,5281103,False,39,-11636,167,Ekdal
,0,0,0,5281103,False,47,3557,168,Foster
,0,0,0,5281103,False,39,-3657,169,Franchi
,0,0,0,5281103,False,48,-2812,170,Gudmundsson
,0,0,0,5281103,False,40,-1758,171,McNally
,0,0,0,5281103,False,43,-15725,172,Muric
,0,0,0,5281103,False,44,-1477,173,O'Shea
,0,0,0,5281103,False,49,-3249,174,Obafemi
,0,0,0,5281103,False,40,-1050,175,Peacock-Farrell
,0,0,0,5281103,False,43,-16677,176,Roberts
,0,0,0,5281103,False,53,-11286,177,Rodriguez
,0,0,0,5281103,False,40,340349,178,Taylor
,0,0,0,5281103,False,40,-1381,179,Thomas
,0,0,0,5281103,False,49,-2565,180,Twine
,0,0,0,5281103,False,39,1446,181,Vigouroux
,0,0,0,5281103,False,44,-5192,182,Vitinho
,0,0,0,5281103,False,55,-14955,183,Weghorst
,0,0,0,5281103,False,46,-10538,184,Zaroury
,0,0,0,5281103,False,50,3648,200,D.D.Fofana
,0,0,0,5281103,False,47,-8629,475,Berge
,0,0,0,5281103,False,53,11507,594,Amdouni
,0,0,0,5281103,False,45,-2177,596,Trafford
,0,0,0,5281103,True,47,-4017,600,Redmond
,0,0,0,5281103,True,48,-128,605,Koleosho
,0,0,0,5281103,False,49,-618,608,Bruun Larsen
,0,0,0,5281103,False,40,-3082,622,Dodgson
,0,0,0,5281103,False,50,5136,660,Odobert
,0,0,0,5281103,False,40,739,674,Delcroix
,0,0,0,5281103,False,50,1436,675,A.Ramsey
,0,0,0,5281103,False,49,-60,694,Massengo
,0,0,0,5281103,False,53,323,706,M.Trésor
,0,0,0,5281103,False,40,1238,805,Assignon
,0,0,0,5281103,False,40,80,806,Estève
,0,0,0,5281103,False,45,-205129,126,Caicedo
,0,0,0,5281103,False,45,-53289,145,Sanchez
,0,0,0,5281103,False,40,-914,185,Ampadu
