player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
168,,0,-202,0,5134547,False,47,1186,Foster
169,,0,-36,0,5134547,False,39,-4124,Franchi
170,,0,-5,0,5134547,False,48,-2850,Gudmundsson
171,,0,0,0,5134547,False,40,-1760,McNally
172,,0,0,0,5134547,False,43,-15762,Muric
173,,0,76,0,5134547,False,44,-2145,O'Shea
174,,0,-5,0,5134547,False,49,-3324,Obafemi
175,,0,0,0,5134547,False,40,-1057,Peacock-Farrell
176,,0,-43,0,5134547,False,43,-17355,Roberts
177,,0,-24,0,5134547,False,53,-12111,Rodriguez
178,,0,-1598,0,5134547,False,40,312950,Taylor
179,,0,-1,0,5134547,False,40,-1387,Thomas
180,,0,0,0,5134547,False,49,-2569,Twine
181,,0,-11,0,5134547,False,39,1456,Vigouroux
182,,0,-5,0,5134547,False,44,-5911,Vitinho
183,,0,0,0,5134547,False,55,-14969,Weghorst
184,,0,-5,0,5134547,False,46,-10625,Zaroury
185,,0,-1,0,5134547,False,40,-921,Ampadu
186,,0,-35,0,5134547,False,42,-7156,Andrey
187,,0,-6,0,5134547,False,50,-83059,Arrizabalaga
188,,0,0,0,5134547,False,65,-2013,Aubameyang
189,,0,0,0,5134547,False,45,-100,Azpilicueta
190,,0,-1,0,5134547,False,40,-290,Baba
191,,0,-92,0,5134547,False,44,1116,B.Badiashile
192,,0,7,0,5134547,False,40,-463,Bettinelli
193,,0,20,0,5134547,False,49,12651,Broja
194,,0,14,0,5134547,False,43,-16231,Chalobah
195,,0,-263,0,5134547,False,54,-1018823,Chilwell
196,,0,2544,0,5134547,False,42,-129339,Chukwuemeka
197,,0,-2061,0,5134547,False,47,74218,Colwill
198,,0,-44,0,5134547,True,48,-31781,Cucurella
199,,0,295,0,5134547,False,48,-214511,Enzo
200,,0,672,0,5134547,False,50,8978,D.D.Fofana
201,,0,-1,0,5134547,True,44,-2497,W.Fofana
202,,0,717,0,5134547,False,54,-9127,Gallagher
203,,0,-571,0,5134547,False,42,495484,Gusto
204,,0,-20,0,5134547,False,43,-10310,Hall
205,,0,511,0,5134547,False,47,7753,Hudson-Odoi
206,,0,-342,0,5134547,True,53,-1250906,James
207,,0,-8,0,5134547,False,68,-52776,Lukaku
208,,0,-59,0,5134547,False,53,-1542,Madueke
209,,0,-57,0,5134547,True,68,-259255,Mount
210,,0,-403,0,5134547,False,63,-197551,Mudryk
211,,0,-697,0,5134547,False,68,-1125379,N.Jackson
212,,-4905,-1986,-1,5134547,False,73,-24508,Nkunku
213,,0,0,0,5134547,False,55,-406,Pulisic
214,,0,-2,0,5134547,False,43,-4912,M.Sarr
215,,0,-1,0,5134547,False,40,-4204,Slonina
216,,0,-5951,0,5134547,False,70,280744,Sterling
217,,0,-3975,0,5134547,False,50,33886,T.Silva
218,,0,-2,0,5134547,False,54,-15450,Ziyech
219,,0,-131,0,5134547,False,43,21382,Ahamada
220,,0,-6092,-1,5134547,False,47,1160226,Andersen
221,,0,-22,0,5134547,False,54,-12226,J.Ayew
222,,0,-18,0,5134547,False,44,-4652,Clyne
223,,0,-4,0,5134547,True,49,-3592,C.Doucouré
224,,0,-6,0,5134547,False,44,-3966,Ebiowei
225,,0,-97,0,5134547,False,54,-86838,Edouard
226,,0,-1694,0,5134547,True,60,-1251140,Eze
227,,0,-15,0,5134547,False,44,-68230,Guaita
228,,-4786,-3020,-1,5134547,True,43,56050,Guéhi
229,,0,-2,0,5134547,False,49,21,Hughes
230,,0,-885,0,5134547,False,45,-18179,Johnstone
231,,0,59,0,5134547,False,47,-26936,Lerma
232,,0,8,0,5134547,False,49,9659,Mateta
233,,0,2,0,5134547,False,39,-2565,Matthews
234,,0,-1241,-1,5134547,False,45,233221,Mitchell
235,,0,-2,0,5134547,False,40,-9979,O'Brien
236,,-6731,-3325,-1,5134547,True,58,76363,Olise
237,,0,-1,0,5134547,False,45,-1566,Plange
238,,0,98,0,5134547,False,39,9576,C.Richards
239,,0,11,0,5134547,False,43,-1609,Riedewald
240,,0,-24,0,5134547,False,49,-8584,Schlupp
241,,0,-17,0,5134547,False,40,-48007,Tomkins
242,,0,3,0,5134547,False,45,-11225,Ward
243,,0,18,0,5134547,False,39,-27558,Whitworth
244,,0,-38,0,5134547,True,44,-17507,André Gomes
245,,0,4738,1,5134547,False,42,441168,Branthwaite
246,,0,276,0,5134547,False,58,-19530,Calvert-Lewin
247,,0,10,0,5134547,False,44,-3068,Coleman
248,,0,0,0,5134547,True,48,-2821,Dele
249,,0,-271,0,5134547,False,55,9286,A.Doucoure
250,,0,-22,0,5134547,False,49,2605,Garner
251,,0,-2,0,5134547,False,44,-2157,Gbamin
252,,0,33,0,5134547,False,43,-7317,Godfrey
253,,0,-4,0,5134547,False,53,-29114,Gray
254,,0,-4,0,5134547,False,48,-2792,Gana
255,,0,-1,0,5134547,False,40,-132313,Holgate
256,,0,-176,0,5134547,False,53,-50559,Iwobi
257,,0,-36,0,5134547,False,43,-10569,Keane
258,,0,2972,0,5134547,False,49,9299,Maupay
259,,0,-278,0,5134547,False,54,18947,McNeil
260,,0,-481,0,5134547,False,46,576547,Mykolenko
261,,0,26,0,5134547,False,47,-12738,Onana
262,,0,-30,0,5134547,False,44,-8528,Patterson
263,,0,4693,0,5134547,False,45,-337694,Pickford
264,,0,0,0,5134547,False,45,-3661,Simms
265,,0,-963,0,5134547,False,46,365231,Tarkowski
266,,0,-56,0,5134547,False,39,-9316,J.Virginia
267,,0,-722,0,5134547,False,53,-18439,Andreas
268,,0,-50,0,5134547,False,49,3106,Cairney
269,,0,0,0,5134547,False,50,-1008,I.Cavaleiro
270,,0,145,0,5134547,False,53,-547,De Cordova-Reid
271,,0,52,0,5134547,False,44,-27465,Diop
272,,0,-8,0,5134547,False,44,-1605,Francois
273,,0,0,0,5134547,False,44,-7101,Knockaert
274,,0,-5,0,5134547,False,40,-9628,Kongolo
275,,0,-4094,0,5134547,False,48,737836,Leno
276,,0,-7,0,5134547,False,43,-16057,Lukić
277,,0,-16,0,5134547,False,40,-37772,Mbabu
278,,0,-20,0,5134547,False,74,-341211,Mitrović
279,,0,4042,0,5134547,False,44,11191,Muniz
280,,0,-130,0,5134547,False,50,10896,J.Palhinha
281,,0,-129,0,5134547,False,45,-4101,Ream
282,,0,-23,0,5134547,False,45,-60978,Reed
283,,0,64,0,5134547,False,44,100528,Robinson
284,,0,-20,0,5134547,False,39,-8331,Rodák
285,,0,-118,0,5134547,True,44,-37517,Tete
286,,0,-217,0,5134547,False,43,15799,Tosin
287,,0,-434,0,5134547,False,45,-284605,Vinícius
288,,0,-21,0,5134547,False,53,-8915,Wilson
289,,0,-29,0,5134547,False,39,-9522,Adrián
290,,0,-43104,0,5134547,False,86,277504,Alexander-Arnold
291,,0,1641,1,5134547,False,58,436007,A.Becker
292,,0,-2,0,5134547,True,47,-3972,Bajcetic
293,,0,31585,1,5134547,False,76,442267,Darwin
294,,28702,28702,1,5134547,False,83,1807687,Diogo J.
295,,0,1444,0,5134547,False,48,1830,Elliott
296,,0,0,0,5134547,False,50,-1107,Fabinho
297,,0,-51,0,5134547,False,72,-430568,Gakpo
298,,0,1238,0,5134547,False,46,183113,Gomez
299,,0,0,0,5134547,False,50,-812,Henderson
300,,0,380,0,5134547,False,49,3806,Jones
301,,0,2232,0,5134547,False,37,137449,Kelleher
302,,0,3386,0,5134547,False,49,-884,Konaté
303,,32226,17337,1,5134547,False,75,247535,Luis Díaz
304,,0,1159,0,5134547,False,58,-832321,Mac Allister
305,,0,-33,0,5134547,True,48,-12643,Matip
306,,0,-6,0,5134547,False,40,-16465,Phillips
307,,0,7848,0,5134547,False,64,-165800,Robertson
308,,0,7819,0,5134547,False,130,-1075178,Salah
309,,0,-3207,0,5134547,True,71,-94166,Szoboszlai
310,,0,-17,0,5134547,True,47,-17600,Thiago
311,,0,-206,0,5134547,False,45,127943,Tsimikas
312,,0,-3,0,5134547,False,40,-2501,Van den Berg
313,,0,13069,1,5134547,False,64,551448,Virgil
314,,0,11981,0,5134547,False,49,384596,Adebayo
315,,0,-216,0,5134547,True,39,-18034,Andersen
316,,0,2596,0,5134547,False,39,-431357,Bell
317,,0,9,0,5134547,False,46,-4963,Berry
318,,0,267,0,5134547,False,40,5084,Burke
319,,0,0,0,5134547,False,49,-3715,Campbell
320,,0,-10,0,5134547,False,48,-531,Clark
321,,0,4712,0,5134547,False,46,782770,Doughty
322,,0,0,0,5134547,False,49,-1873,Freeman
323,,0,-23,0,5134547,False,40,-42981,Macey
324,,0,-43,0,5134547,False,45,-231074,McAtee
325,,0,0,0,5134547,False,45,-1481,Mendes
326,,0,7076,0,5134547,False,50,165249,Morris
327,,0,-5,0,5134547,False,45,-17542,Muskwe
328,,0,61,0,5134547,False,49,-2675,Ogbene
329,,0,0,0,5134547,False,50,-203,Onyedinma
330,,0,199,0,5134547,False,44,15974,Osho
331,,0,-7,0,5134547,False,45,-16853,Pepple
332,,0,-5,0,5134547,False,44,-15982,Pereira
333,,0,49,0,5134547,False,39,-1122,Potts
334,,0,0,0,5134547,False,44,-4489,Rea
335,,0,-12,0,5134547,False,43,-10199,Shea
336,,0,-2,0,5134547,False,45,-25550,Taylor
337,,0,0,0,5134547,False,45,-606,Thorpe
338,,0,-2,0,5134547,False,40,-848,Walton
339,,0,-3,0,5134547,False,44,-25441,Watson
340,,0,233,0,5134547,False,43,-23387,Woodrow
341,,0,-611,0,5134547,False,49,-174210,Akanji
342,,0,20653,0,5134547,False,50,185588,Aké
343,,-20593,-20593,-1,5134547,False,67,2109065,J.Alvarez
344,,0,-8108,0,5134547,False,64,-87499,Bernardo
345,,0,-43,0,5134547,False,44,2607,Bobb
346,,0,-34,0,5134547,False,58,-250729,Cancelo
347,,0,-4,0,5134547,False,38,-1648,Carson
348,,0,0,0,5134547,False,45,-36,Charles
349,,0,7502,0,5134547,False,108,1849486,De Bruyne
350,,0,749,0,5134547,False,55,-167301,Rúben
351,,0,13,0,5134547,False,44,2171,Doyle
352,,0,445,0,5134547,False,55,-222521,Ederson M.
353,,0,19439,0,5134547,False,80,2235695,Foden
354,,0,-679,0,5134547,False,72,-402319,Grealish
355,,89088,45975,1,5134547,False,144,-1641585,Haaland
356,,0,-36,0,5134547,False,47,-76317,Kovačić
357,,0,-4,0,5134547,False,49,-32173,Laporte
358,,0,-147,0,5134547,False,43,-21930,R.Lewis
359,,0,0,0,5134547,False,75,-5612,Mahrez
360,,0,489,0,5134547,False,44,74574,McAtee
361,,0,-283,0,5134547,False,38,-10241,Ortega Moreno
362,,0,-10963,0,5134547,False,59,4008639,Palmer
363,,0,0,0,5134547,False,44,-1957,Perrone
364,,0,-27,0,5134547,False,47,-725,Phillips
365,,0,1707,0,5134547,False,56,-45590,Rodrigo
366,,0,215,0,5134547,False,38,-17910,Sergio Gómez
367,,0,-78,0,5134547,False,39,-2061,Steffen
368,,0,875,0,5134547,False,53,-2130043,Stones
369,,0,-6030,0,5134547,False,55,1122450,Walker
370,,0,0,0,5134547,False,45,-718,Alex Telles
371,,0,2,0,5134547,False,44,-2601,Amad
372,,0,-40,0,5134547,False,68,-84434,Antony
373,,0,-2624,0,5134547,False,82,-1608137,B.Fernandes
374,,0,-6,0,5134547,False,40,-11828,B.Williams
375,,0,-5,0,5134547,False,40,-13820,Bailly
376,,0,17,0,5134547,False,53,-302783,Casemiro
377,,0,4175,0,5134547,False,51,142964,Dalot
378,,0,671,0,5134547,False,51,65149,Elanga
379,,0,-33,0,5134547,False,58,-31874,Eriksen
380,,0,-5,0,5134547,False,40,-20522,Fernandez
381,,0,0,0,5134547,False,50,-10506,Fred
382,,0,8154,0,5134547,False,49,529946,Garnacho
383,,0,-40,0,5134547,False,43,1543,Hannibal
384,,0,-2,0,5134547,False,40,-5857,Heaton
385,,0,7,0,5134547,False,44,-11128,Henderson
386,,0,-6,0,5134547,False,45,-3242,Lindelof
387,,0,5518,0,5134547,False,42,69197,Maguire
388,,0,1051,0,5134547,False,44,51841,Mainoo
389,,0,-2,0,5134547,True,43,-4089,Malacia
390,,0,-43,0,5134547,True,64,-14942,Martial
391,,0,-351,0,5134547,True,47,-494702,Martinez
392,,0,2842,0,5134547,False,46,117644,McTominay
393,,0,-101,0,5134547,False,39,154868,Mengi
394,,0,-103,0,5134547,False,42,1207,Pellistri
395,,0,98,0,5134547,False,49,-171090,R.Varane
396,,0,-2768,0,5134547,False,84,-3486378,Rashford
397,,0,-16,0,5134547,False,67,-62950,Sancho
398,,0,-127,0,5134547,False,52,-2032282,Shaw
399,,0,3,0,5134547,False,44,-1463,Shoretire
400,,0,-5,0,5134547,False,47,-3334,Van de Beek
401,,0,-444,0,5134547,False,44,-130563,Wan-Bissaka
402,,0,-1336,0,5134547,False,61,-415253,Almirón
403,,0,-1,0,5134547,True,42,-404854,Anderson
404,,0,-2,0,5134547,False,40,-2289,Ashby
405,,0,465,0,5134547,False,45,-1156571,Botman
406,,0,2915,0,5134547,False,58,-124469,Bruno G.
407,,0,-403,0,5134547,False,44,171393,Burn
408,,0,0,0,5134547,False,40,-988,Darlow
409,,0,112,0,5134547,False,42,822501,Dubravka
410,,0,0,0,5134547,False,49,-3935,Fraser
411,,0,5,0,5134547,False,39,-479,Gillespie
412,,0,-8933,0,5134547,False,61,1508498,Gordon
413,,0,0,0,5134547,False,44,-3957,Hayden
414,,0,0,0,5134547,False,44,-4289,Hendrick
415,,0,-9016,0,5134547,True,75,-975706,Isak
416,,0,-106,0,5134547,True,58,-76840,Joelinton
417,,0,5,0,5134547,False,44,-578,Krafth
418,,0,0,0,5134547,False,45,-651,Kuol
419,,0,-657,-1,5134547,False,40,277760,Lascelles
420,,0,-1,0,5134547,False,40,-875,J.Lewis
421,,0,202,0,5134547,False,48,22328,Longstaff
422,,0,-5,0,5134547,False,40,-3304,Manquillo
423,,0,-86,0,5134547,False,48,-13591,J.Murphy
424,,0,-943,0,5134547,True,53,-664801,Pope
425,,0,38,0,5134547,False,43,-5629,Ritchie
426,,0,-1,0,5134547,False,60,-5373,Saint-Maximin
427,,0,5626,0,5134547,False,53,535973,Schär
428,,0,-6,0,5134547,True,42,-12227,Targett
429,,0,-56,0,5134547,False,52,-152905,Tonali
